"Company";"TypeName";"Inches";"Screen_width";"Screen_height";"TouchScreen";"IPS_Panel";"Ram";"Gpu_Brand";"Gpu_Name";"OpSys";"Weight";"Price";"Cpu_brand";"Cpu_Speed_Ghz";"Cpu_Model";"Cpu_type";"Memory_1_Type";"Memory_1_Size";"Memory_2_Type";"Memory_2_Size"
"Asus";"Gaming";17.3;1920;1080;0;0;12;"Nvidia";" GeForce GTX 1050 Ti";"Linux";3.0;50563;"Intel";2.8;"Core i7 7700HQ";"Core i7";"HDD";1024;"";0
"Microsoft";"Ultrabook";13.5;2256;1504;1;0;4;"Intel";" HD Graphics 620";"Windows 10";1.25;58022;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";128;"";0
"Dell";"Ultrabook";13.3;1920;1080;0;1;64;"AMD";" Radeon 530";"Windows 10";1.4;50882;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon 530";"Windows 10";2.2;46354;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"MSI";"Gaming";17.3;1920;1080;0;0;8;"Nvidia";" GeForce GTX 1050";"Windows 10";2.7;58342;"Intel";2.5;"Core i5 7300HQ";"Core i5";"SSD";128;"HDD";1024
"Acer";"Notebook";14.0;1366;768;0;0;8;"Intel";" HD Graphics 520";"Windows 10";2.1;20726;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";1024;"";0
"Asus";"Gaming";15.6;1920;1080;0;0;8;"Nvidia";" GeForce GTX 1050";"Windows 10";2.2;50563;"Intel";2.8;"Core i7 7700HQ";"Core i7";"HDD";1024;"";0
"Lenovo";"Notebook";15.6;1920;1080;0;0;8;"Intel";" HD Graphics 620";"No OS";2.2;27652;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";1024;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";2.02;45554;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";128;"HDD";1024
"Acer";"Notebook";15.6;1920;1080;0;0;4;"Nvidia";" GeForce MX130";"Windows 10";2.2;28238;"Intel";2.7;"Core i3 7130U";"Core i3";"HDD";1024;"";0
"HP";"Notebook";17.3;1920;1080;0;0;8;"Nvidia";" GeForce 930MX";"Windows 10";2.5;52055;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";128;"HDD";1024
"Dell";"Ultrabook";15.6;1920;1080;0;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.88;58403;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Apple";"Ultrabook";12.0;2304;1440;0;1;8;"Intel";" HD Graphics 615";"macOS";0.92;80453;"Intel";1.3;"Core i5";"Core i5";"SSD";512;"";0
"HP";"Notebook";14.0;1920;1080;0;0;8;"Intel";" HD Graphics 620";"Windows 10";1.63;45821;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Lenovo";"Notebook";15.6;1920;1080;0;0;4;"AMD";" R4 Graphics";"Windows 10";2.2;21259;"AMD";2.5;"A6-Series 9220";"A6-Series 9220";"SSD";128;"";0
"Acer";"Notebook";15.6;1366;768;0;0;4;"AMD";" Radeon R5";"Windows 10";2.1;21046;"AMD";3.0;"A9-Series 9420 3GHz";"A9-Series 9420";"HDD";1024;"";0
"Dell";"Gaming";15.6;1920;1080;0;1;16;"Nvidia";" GeForce GTX 1050 Ti";"Windows 10";2.65;71875;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";128;"HDD";1024
"HP";"Ultrabook";15.6;1920;1080;0;1;8;"Nvidia";" GeForce GTX 940MX";"Windows 10";1.83;37243;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"HP";"Notebook";15.6;1920;1080;0;0;8;"Intel";" HD Graphics 620";"Windows 10";1.96;31914;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"Asus";"Gaming";15.6;1920;1080;0;1;16;"Nvidia";" GeForce GTX 1060";"Windows 10";2.2;77203;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";128;"HDD";1024
"Dell";"Ultrabook";13.3;1920;1080;0;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.21;87859;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"Asus";"Gaming";15.6;1920;1080;0;0;8;"AMD";" Radeon RX 560";"Windows 10";2.45;37243;"AMD";3.0;"FX 9830P 3GHz";"FX 9830P";"HDD";1024;"";0
"Acer";"Notebook";15.6;1920;1080;0;0;2;"Nvidia";" GeForce MX150";"Windows 10";2.2;36710;"Intel";1.8;"Core i7 8550U";"Core i7";"HDD";1024;"";0
"HP";"Notebook";13.3;1920;1080;0;0;16;"Intel";" UHD Graphics 620";"Windows 10";1.49;63776;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";512;"";0
"Dell";"Gaming";15.6;1920;1080;0;0;8;"Nvidia";" GeForce GTX 1060";"Windows 10";2.65;63670;"Intel";2.5;"Core i5 7300HQ";"Core i5";"SSD";256;"";0
"Asus";"Ultrabook";14.0;1920;1080;0;0;8;"Intel";" HD Graphics 620";"Windows 10";1.25;55891;"Intel";2.7;"Core i7 7500U";"Core i7";"SSD";256;"";0
"Acer";"2 in 1 Convertible";13.3;1920;1080;1;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.5;45128;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon R5 M430";"Linux";2.2;31963;"Intel";2.7;"Core i7 7500U";"Core i7";"HDD";1024;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;4;"AMD";" Radeon R5 M430";"Linux";2.2;25841;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"SSD";256;"";0
"Asus";"Notebook";15.6;1920;1080;0;0;6;"Nvidia";" GeForce 920M";"Windows 10";2.0;30743;"Intel";2.4;"Core i3 7100U";"Core i3";"SSD";256;"";0
"HP";"Gaming";15.6;1920;1080;0;1;12;"Nvidia";" GeForce GTX 1050";"Windows 10";2.62;66547;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";128;"HDD";1024
"HP";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon 530";"Windows 10";1.91;38308;"Intel";2.7;"Core i7 7500U";"Core i7";"SSD";256;"";0
"HP";"Notebook";15.6;1920;1080;0;0;4;"AMD";" Radeon R2";"Windows 10";2.1;18595;"AMD";1.5;"E-Series E2-9000e";"E-Series E2-9000e";"HDD";500;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon 520";"Linux";2.2;34472;"Intel";1.6;"Core i5 8250U";"Core i5";"HDD";1024;"";0
"HP";"Ultrabook";13.3;1920;1080;0;1;8;"Nvidia";" GeForce MX150";"Windows 10";1.38;59620;"Intel";2.7;"Core i7 7500U";"Core i7";"SSD";256;"";0
"Microsoft";"Ultrabook";13.5;2256;1504;1;0;8;"Intel";" HD Graphics 620";"Windows 10";1.25;71395;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"HP";"Notebook";14.0;1920;1080;0;1;6;"Nvidia";" GeForce 940MX";"Windows 10";1.58;35112;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"Lenovo";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 520";"Windows 10";1.85;22106;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";1024;"";0
"Asus";"Ultrabook";14.0;1920;1080;0;1;8;"Nvidia";" GeForce 940MX";"Windows 10";1.3;63563;"Intel";2.7;"Core i7 7500U";"Core i7";"SSD";256;"";0
"MSI";"Gaming";15.6;1920;1080;0;0;16;"Nvidia";" GeForce GTX 1050 Ti";"Windows 10";2.2;69211;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";256;"HDD";1024
"Lenovo";"Notebook";14.0;1920;1080;0;1;8;"Intel";" HD Graphics 620";"Windows 10";1.58;78854;"Intel";2.7;"Core i7 7500U";"Core i7";"SSD";256;"";0
"Asus";"Ultrabook";15.6;1920;1080;0;0;16;"Nvidia";" GeForce MX150";"Windows 10";1.5;67239;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"HDD";1024
"Dell";"Ultrabook";13.3;3200;1800;1;0;8;"Intel";" Iris Plus Graphics 640";"Windows 10";1.23;73473;"Intel";2.4;"Core i7 7560U";"Core i7";"SSD";256;"";0
"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;1;8;"Intel";" HD Graphics 620";"Windows 10";1.37;74539;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"HP";"Notebook";14.0;1366;768;0;1;4;"Intel";" UHD Graphics 620";"Windows 10";1.63;38468;"Intel";1.6;"Core i5 8250U";"Core i5";"HDD";500;"";0
"Dell";"Ultrabook";13.3;1920;1080;0;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.21;86793;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"HP";"Notebook";14.0;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.63;57756;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";512;"";0
"Dell";"Notebook";15.6;1920;1080;0;1;8;"Nvidia";" GeForce 940MX";"Windows 10";2.16;60224;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"HDD";1024
"Asus";"Notebook";17.3;1920;1080;0;0;4;"Nvidia";" GeForce 920MX";"Windows 10";2.0;30050;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";1024;"";0
"Asus";"Notebook";15.6;1920;1080;0;0;8;"Nvidia";" GeForce 940MX";"Windows 10";1.7;59567;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"Acer";"Notebook";15.6;1920;1080;1;1;6;"Intel";" HD Graphics 620";"Windows 10";2.1;25521;"Intel";2.4;"Core i3 7100U";"Core i3";"HDD";1024;"";0
"MSI";"Gaming";15.6;1920;1080;0;0;16;"Nvidia";" GeForce GTX 1070";"Windows 10";1.8;119427;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";256;"HDD";1024
"Lenovo";"Notebook";15.6;1920;1080;0;0;8;"Nvidia";" GeForce 940MX";"No OS";2.2;33513;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"HP";"Notebook";17.3;1920;1080;0;0;16;"Nvidia";" GeForce 930MX ";"Windows 10";2.5;67719;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";512;"";0
"Acer";"Notebook";15.6;1366;768;0;0;4;"AMD";" Radeon R5";"Windows 10";2.1;24029;"AMD";3.0;"A9-Series 9420 3GHz";"A9-Series 9420";"SSD";256;"";0
"HP";"Notebook";14.0;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.63;43263;"Intel";1.6;"Core i5 8250U";"Core i5";"HDD";1024;"";0
"Asus";"Notebook";14.0;1366;768;0;0;4;"AMD";" Radeon R2";"Windows 10";1.65;14811;"AMD";1.5;"E-Series 6110";"E-Series 6110";"SSD";64;"";0
"Dell";"Notebook";17.3;1920;1080;0;0;16;"AMD";" Radeon 530";"Windows 10";2.8;74379;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"HDD";1024
"HP";"Notebook";17.3;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";2.5;49444;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Dell";"Notebook";15.6;1366;768;0;0;8;"AMD";" Radeon R7 M445";"Windows 10";2.36;34045;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";1024;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;4;"AMD";" Radeon R5 M430";"Windows 10";2.2;23923;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";1024;"";0
"Acer";"Ultrabook";14.0;1920;1080;0;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.6;47100;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"Acer";"Notebook";15.6;1920;1080;0;0;4;"Nvidia";" GeForce MX130";"Windows 10";7.2;30476;"Intel";2.7;"Core i3 7130U";"Core i3";"SSD";256;"";0
"HP";"Notebook";15.6;1366;768;0;0;8;"Intel";" HD Graphics 620";"Windows 10";2.05;31861;"Intel";2.7;"Core i7 7500U";"Core i7";"HDD";1024;"";0
"HP";"Notebook";14.0;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.63;52641;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"Lenovo";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 500";"No OS";1.9;13446;"Intel";1.1;"Celeron Dual Core N3350";"Celeron Dual";"HDD";1024;"";0
"Asus";"Gaming";17.3;1920;1080;0;0;8;"Nvidia";" GeForce GTX 1050";"Windows 10";3.0;49977;"Intel";2.5;"Core i5 7300HQ";"Core i5";"SSD";128;"HDD";1024
"Lenovo";"Notebook";15.6;1920;1080;0;0;4;"Nvidia";" GeForce 920MX";"No OS";2.2;26587;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";1024;"";0
"HP";"Notebook";13.3;1920;1080;0;1;4;"Intel";" HD Graphics 620";"Windows 10";1.32;37243;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"Acer";"Notebook";17.3;1920;1080;0;1;4;"Nvidia";" GeForce MX130";"Windows 10";3.0;34898;"Intel";2.7;"Core i3 7130U";"Core i3";"HDD";1024;"";0
"Lenovo";"Notebook";14.0;1920;1080;0;1;8;"AMD";" Radeon RX 550";"Windows 10";1.75;59462;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Lenovo";"Gaming";15.6;1920;1080;0;1;8;"Nvidia";" GeForce GTX 1050M";"No OS";2.4;46300;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";256;"";0
"Toshiba";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 520";"Windows 10";2.1;32075;"Intel";2.3;"Core i5 6200U";"Core i5";"HDD";500;"";0
"HP";"Notebook";15.6;1366;768;0;0;4;"AMD";" Radeon R4 Graphics";"Windows 10";1.86;19660;"AMD";2.5;"A6-Series 9220";"A6-Series 9220";"SSD";256;"";0
"Asus";"Ultrabook";14.0;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.25;58555;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"HP";"Ultrabook";12.5;3840;2160;1;1;8;"Intel";" HD Graphics 515";"Windows 10";0.97;107306;"Intel";1.2;"Core M 6Y75";"Core M";"SSD";512;"";0
"Asus";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 500";"Windows 10";2.0;18328;"Intel";1.1;"Celeron Dual Core N3350";"Celeron Dual";"HDD";1024;"";0
